case,ax,rate,de,de_lo,cap
S4,My,1.2,0.9609446798802037,0.40322977181617503,0.15994679553604726
S4,My,0.1,0.32356729897099856,0.1475985312877383,0.1307021846846266
S4,My,0.2,0.4315593790842161,0.1968144407311956,0.1301838743728561
S4,My,0.3,0.5174983317826849,0.23577639931022093,0.1331128855125712
S4,My,0.45,0.6450649991207379,0.2849740977116775,0.13822119808817745
S4,My,0.65,0.6186148366119281,0.2648061592360481,0.1447540863158656
S4,My,0.9,0.6362184285687535,0.30355081059041145,0.15211747309653278
S4,My,1.2,0.6828755925296972,0.2787318076892487,0.15994679553604726
S5,Mx,0.1,0.698754498990734,0.327942138660061,0.10763249804410989
S5,Mx,0.2,0.6920726145188575,0.2703066129010992,0.108022017272444
S5,Mx,0.3,0.7826544344055738,0.3392278529231509,0.11071677932408837
S5,Mx,0.45,0.7736935118181084,0.3307981019521484,0.11512398517194208
S5,Mx,0.65,0.8805465652260379,0.3640262351716189,0.12064167800367143
S5,Mx,0.9,0.5303251747718233,0.27497210017039453,0.12680711814340176
S5,Mx,1.2,0.2577201667757773,0.17796852956544704,0.1333363440414431
S5,Mx,0.1,0.45229012683101566,0.21828899965014978,0.10763249804410989
S5,Mx,0.2,0.4784318592213181,0.245576692149604,0.108022017272444
S5,Mx,0.3,0.4511953096100531,0.19460371148173872,0.11071677932408837
S5,Mx,0.45,0.5467577337177864,0.26223725981071605,0.11512398517194208
S5,Mx,0.65,0.7150212076634249,0.27932150066107087,0.12064167800367143
S5,Mx,0.9,0.6461728170586459,0.28823403086809546,0.12680711814340176
S5,Mx,1.2,0.6122099734963287,0.27367877670625523,0.1333363440414431
S5,My,0.1,0.6542213350292475,0.3063010761771134,0.1307021846846266
S5,My,0.2,0.7341443427657273,0.31160149124850234,0.1301838743728561
S5,My,0.3,0.7774414609891939,0.2730994976858625,0.1331128855125712
S5,My,0.45,0.8393549752016852,0.3100121999432375,0.13822119808817745
S5,My,0.65,0.9461090999520526,0.42624745197106406,0.1447540863158656
S5,My,0.9,0.9236781371494727,0.38832095648159987,0.15211747309653278
S5,My,1.2,0.9740624392789695,0.374681838042498,0.15994679553604726
S5,My,0.1,0.4015226560965987,0.2019934511621943,0.1307021846846266
S5,My,0.2,0.4680729395046173,0.21298681109183099,0.1301838743728561
S5,My,0.3,0.5045840148397039,0.22125298415420339,0.1331128855125712
S5,My,0.45,0.41554097169677257,0.20824297628030722,0.13822119808817745
S5,My,0.65,0.47642668075523215,0.2306310553786165,0.1447540863158656
S5,My,0.9,0.5386993617923288,0.22399043521399814,0.15211747309653278
S5,My,1.2,0.66982731454082,0.29298864894677545,0.15994679553604726
S6,Mx,0.1,0.4843530715262567,0.2204812254891591,0.10763249804410989
S6,Mx,0.2,0.512279838934359,0.23097975683581146,0.108022017272444
S6,Mx,0.3,0.6051533499132341,0.2594147106580795,0.11071677932408837
S6,Mx,0.45,0.5888746129954623,0.2579014106105154,0.11512398517194208
S6,Mx,0.65,0.6512594004843755,0.27760512467769183,0.12064167800367143
S6,Mx,0.9,0.7042904098245609,0.3060156229329054,0.12680711814340176
S6,Mx,1.2,1.1763736151892454,0.6162900552016781,0.1333363440414431
S6,Mx,0.1,0.6738063456844395,0.3055591349957035,0.10763249804410989
S6,Mx,0.2,0.8012806108642617,0.367551511002764,0.108022017272444
S6,Mx,0.3,0.8598237843294428,0.36571648629469156,0.11071677932408837
S6,Mx,0.45,0.6799706259762235,0.30490554542868087,0.11512398517194208
S6,Mx,0.65,0.9671823148665991,0.3466464497938396,0.12064167800367143
S6,Mx,0.9,0.9569888293622391,0.3908820872668508,0.12680711814340176
S6,Mx,1.2,0.18809995485415232,0.14531516319840893,0.1333363440414431
S6,My,0.1,0.4449006847283106,0.21532658812793765,0.1307021846846266
S6,My,0.2,0.45111332404308174,0.19428644144413387,0.1301838743728561
S6,My,0.3,0.49701030515293826,0.2356405563824844,0.1331128855125712
S6,My,0.45,0.5092513466708384,0.2207896438756958,0.13822119808817745
S6,My,0.65,0.549081595917381,0.2208792892618115,0.1447540863158656
S6,My,0.9,0.5689737246881924,0.2539181300942197,0.15211747309653278
S6,My,1.2,0.5145998598326131,0.19945907486996076,0.15994679553604726
S6,My,0.1,0.6001045398919388,0.2657526977921338,0.1307021846846266
S6,My,0.2,0.7413293770885824,0.3157020016784286,0.1301838743728561
S6,My,0.3,0.8186016146330736,0.3473043776736434,0.1331128855125712
S6,My,0.45,0.795027267001492,0.34618219874733464,0.13822119808817745
S6,My,0.65,0.8969468565467813,0.338321215208785,0.1447540863158656
S6,My,0.9,0.997663950445888,0.4019827667113437,0.15211747309653278
S6,My,1.2,1.0432992534036265,0.4066988442528686,0.15994679553604726
S7,Mx,0.1,0.593775795446475,0.26571464271164175,0.10763249804410989
S7,Mx,0.2,0.5229923292893451,0.22524319016115885,0.108022017272444
S7,Mx,0.3,0.9174209091248826,0.38856270084191175,0.11071677932408837
S7,Mx,0.45,0.9787366708160928,0.39283842377455136,0.11512398517194208
S7,Mx,0.65,1.0160375171255775,0.4223194193136053,0.12064167800367143
S7,Mx,0.9,0.9691654353088323,0.3771797175973146,0.12680711814340176
S7,Mx,1.2,1.099728463895179,0.4585162833407931,0.1333363440414431
S7,Mx,0.1,0.4403780493534444,0.21181470588786777,0.10763249804410989
S7,Mx,0.2,0.4051241420541633,0.19396788783696,0.108022017272444
S7,Mx,0.3,0.539048790525221,0.20668557926036818,0.11071677932408837
S7,Mx,0.45,0.5041296986611788,0.20639911425551635,0.11512398517194208
S7,Mx,0.65,0.6598414773031936,0.2553871426464748,0.12064167800367143
S7,Mx,0.9,0.6472452526587816,0.28667847083833853,0.12680711814340176
S7,Mx,1.2,0.7400575692032252,0.32986471772336795,0.1333363440414431
S7,My,0.1,0.42988690950921704,0.21788338334270324,0.1307021846846266
S7,My,0.2,0.3943580126788301,0.18595051791569508,0.1301838743728561
