case,axis,run,rate,gap_onset,gap_rel,tau_ms,M_crit
case_03,My,pos_My_120,1.2,0.11880336854372309,0.11265468596591859,99.00280711976924,1.0545799096156965
case_04,Mx,neg_Mx_01,0.1,0.010984485438315872,0.0099805650612792,109.84485438315872,-1.1005875289497886
case_04,Mx,neg_Mx_02,0.2,0.02272247703936836,0.01929143419967943,113.6123851968418,-1.1778531758797874
case_04,Mx,neg_Mx_03,0.3,0.03529381132535403,0.028622446584142928,117.6460377511801,-1.2330815683976888
case_04,Mx,neg_Mx_045,0.45,0.043840110043606106,0.03658039001602899,97.42246676356912,-1.1984593391266747
case_04,Mx,neg_Mx_065,0.65,0.06479106852522998,0.054610855341777065,99.67856696189226,-1.1864137289141687
case_04,Mx,neg_Mx_090,0.9,0.09389501181445525,0.08276000082134516,104.32779090495029,-1.1345458057346731
case_04,Mx,neg_Mx_120,1.2,0.12443810165026159,0.08693776005166498,103.69841804188466,-1.4313469955553384
case_04,Mx,pos_Mx_01,0.1,0.010618945070714148,0.007141405320314656,106.18945070714148,1.4869545410771152
case_04,Mx,pos_Mx_02,0.2,0.01873449840478303,0.0123441661339004,93.67249202391514,1.5176803521246411
case_04,Mx,pos_Mx_03,0.3,0.02865311290167427,0.018440583951043032,95.51037633891424,1.553807242641771
case_04,Mx,pos_Mx_045,0.45,0.04506517511396324,0.029843269912291935,100.14483358658498,1.5100615732259843
case_04,Mx,pos_Mx_065,0.65,0.0663305592473169,0.045010065514829355,102.04701422664138,1.4736827971393007
case_04,Mx,pos_Mx_090,0.9,0.08739916532988312,0.0575948842072259,97.11018369987013,1.5174813967056808
case_04,Mx,pos_Mx_120,1.2,0.12181871823075507,0.07285561803850968,101.51559852562924,1.6720566170527127
case_04,My,neg_My_01,0.1,0.013489161611963896,0.013315592903510216,134.89161611963894,-1.013034996617231
case_04,My,neg_My_02,0.2,0.020277071974412975,0.019376443984056045,101.38535987206488,-1.0464805611957495
case_04,My,neg_My_03,0.3,0.030825947049625713,0.02923471645264218,102.75315683208571,-1.0544294862432202
case_04,My,neg_My_045,0.45,0.04394646968270721,0.04339218933217001,97.65882151712714,-1.012773735528626
case_04,My,neg_My_065,0.65,0.0652996424572132,0.06408509192043454,100.4609883957126,-1.0189521540873592
case_04,My,neg_My_090,0.9,0.0889539739948586,0.08042854053595047,98.83774888317622,-1.1060001014825998
case_04,My,neg_My_120,1.2,0.12952101060769938,0.11905155274106524,107.93417550641617,-1.0879405402582611
case_04,My,pos_My_01,0.1,0.012552172366676273,0.01267220539141179,125.52172366676274,0.990527850438972
case_04,My,pos_My_02,0.2,0.018803009203740784,0.018153260457491778,94.01504601870393,1.03579239926461
case_04,My,pos_My_03,0.3,0.02709101005354375,0.026774259948597733,90.30336684514585,1.0118303962669417
case_04,My,pos_My_045,0.45,0.04670774453959137,0.04346184601560554,103.79498786575859,1.0746838623196158
case_04,My,pos_My_065,0.65,0.06523619928202296,0.06187813862993368,100.36338351080454,1.0542689344967595
case_04,My,pos_My_090,0.9,0.09759890004271266,0.09611796662355114,108.44322226968073,1.015407456807338
case_04,My,pos_My_120,1.2,0.12427615507858158,0.09149613446226353,103.56346256548466,1.358266726883831
case_05,Mx,neg_Mx_01,0.1,0.00876014002985015,0.008879036964262784,87.60140029850149,-0.9866092533580857
case_05,Mx,neg_Mx_02,0.2,0.021969017762229814,0.020378314058661688,109.84508881114907,-1.0780586509261303
case_05,Mx,neg_Mx_03,0.3,0.027120427736796016,0.02475112485965463,90.40142578932006,-1.0957250585812142
case_05,Mx,neg_Mx_045,0.45,0.04720525092934369,0.04688226819670673,104.90055762076375,-1.006889230087627
case_05,Mx,neg_Mx_065,0.65,0.06389115628044317,0.06153515119950761,98.29408658529718,-1.0382871421457467
case_05,Mx,neg_Mx_090,0.9,0.0912643110437561,0.08057802109612054,101.40479004861788,-1.1326204069331514
case_05,Mx,neg_Mx_120,1.2,0.12089099651178392,0.09256402729656964,100.74249709315328,-1.3060256780364186
case_05,Mx,pos_Mx_01,0.1,0.015046039120957921,0.009273104675077725,150.4603912095792,1.6225460240296283
case_05,Mx,pos_Mx_02,0.2,0.02355500329990723,0.014180433575829363,117.77501649953614,1.6610918963759245
case_05,Mx,pos_Mx_03,0.3,0.03299858023524038,0.019511101503401185,109.99526745080128,1.6912720293873749
case_05,Mx,pos_Mx_045,0.45,0.04300375685825464,0.025036488336601704,95.56390412945476,1.7176433164305223
case_05,Mx,pos_Mx_065,0.65,0.0661895392299281,0.03880345249209427,101.83006035373553,1.7057641776440744
case_05,Mx,pos_Mx_090,0.9,0.08891208387469418,0.05283484571421721,98.79120430521574,1.682830387271653
case_05,Mx,pos_Mx_120,1.2,0.12287370146458954,0.07094861713508026,102.39475122049127,1.731868871110599
