case,ax,rate,res,cap
S9,Mx,0.65,0.12381166837927612,0.41974303050012984
S9,Mx,0.9,0.126074789519693,0.36285734165671046
S9,Mx,1.2,0.114200024380489,0.32093816437869216
S9,My,0.1,0.6057685331228336,1.4228063255731977
S9,My,0.2,0.3412868714772957,0.8780273314335663
S9,My,0.3,0.35285048047699524,0.6891586403922322
S9,My,0.45,0.16426316691348247,0.5444664106380789
S9,My,0.65,0.19553505337157484,0.4704631798570673
S9,My,0.9,0.6212139367252306,0.4205860671109438
S9,My,1.2,0.16845787449619642,0.38201727975044875
S9,My,0.1,0.5383536779250138,1.4212754545348292
S9,My,0.2,0.483134095709146,0.8890424451777538
S9,My,0.3,0.2766896834666565,0.6904081586760145
S9,My,0.45,0.3177365156683171,0.543697538239144
S9,My,0.65,0.21065572062012836,0.47720331928738546
S9,My,0.9,0.33303105771741054,0.4567633924358233
S9,My,1.2,0.3988087239456047,0.4177193990361955
S11,Mx,0.1,0.4422098333189326,1.126292640203115
S11,Mx,0.2,0.34237943370431556,0.7055428250971609
S11,Mx,0.3,0.17438936028491467,0.5646814669287998
S11,Mx,0.45,0.15601278701766377,0.4554388923971452
S11,Mx,0.65,0.11108840563849313,0.374946694988443
S11,Mx,0.9,0.12564179314867338,0.34278946412160727
S11,Mx,1.2,0.11257832448933475,0.2912754787114071
S11,Mx,0.1,0.47221377387137914,1.1205217183492249
S11,Mx,0.2,0.2395736494437687,0.7020315473015659
S11,Mx,0.3,0.23987231106558218,0.5597461703406367
S11,Mx,0.45,0.1201814141682011,0.4515173652960445
S11,Mx,0.65,0.1287868560101133,0.38387257238337447
S11,Mx,0.9,0.1262724718529085,0.3428545985036494
S11,Mx,1.2,0.14105336262816126,0.3089236323409762
S11,My,0.1,0.48983970897220164,1.46373875978007
S11,My,0.2,0.3114221682669501,0.9081861114860751
S11,My,0.3,0.1815127913780926,0.702954936723786
S11,My,0.45,0.12596196796342735,0.5626387103095974
S11,My,0.65,0.11355756161732052,0.46218161940068203
S11,My,0.9,0.13110343398698168,0.4036914626545663
S11,My,1.2,0.12392022962699313,0.36532903106425685
S11,My,0.1,0.47531816390561465,1.4654317662926057
S11,My,0.2,0.2687328489547428,0.8966674592455404
S11,My,0.3,0.13673332898688842,0.6907135183017341
S11,My,0.45,0.23287495221471197,0.5811643543445125
S11,My,0.65,0.19813112618108697,0.4984173794062432
S11,My,0.9,0.14031702007125393,0.3946978571854876
S11,My,1.2,0.4771353870063806,0.6344634292387428
S13,Mx,0.1,0.18810277371349748,1.2631681145176183
S13,Mx,0.2,0.28888782422950104,0.7756283876817951
S13,Mx,0.3,0.2623621657083287,0.6178449207694985
S13,Mx,0.45,0.1259572047387649,0.48417532069240765
S13,Mx,0.65,0.12240778708450206,0.4087902805046637
S13,Mx,0.9,0.11920069823766992,0.3569221062856895
S13,Mx,1.2,0.10981769129223869,0.30848205100257986
S13,Mx,0.1,0.6722496388948281,1.2630775166884063
S13,Mx,0.2,0.3037232404816378,0.7810846538271876
S13,Mx,0.3,0.1266250526560884,0.6069902630591608
S13,Mx,0.45,0.13510384411382945,0.48950333246040967
S13,Mx,0.65,0.13558904650400183,0.4219348279244833
S13,Mx,0.9,0.15757221116756304,0.36702134814315657
S13,Mx,1.2,0.11546404808302478,0.3089697719589259
S13,My,0.1,0.49273513900733085,1.427348291935292
S13,My,0.2,0.36410940718499096,0.8815421716431882
S13,My,0.3,0.16809154521209685,0.6883687543768243
S13,My,0.45,0.1357441982675507,0.5419640495442879
S13,My,0.65,0.12359557290476558,0.4600040582375259
S13,My,0.9,0.11997707049961608,0.39891905549428697
S13,My,1.2,0.11719202956776623,0.35380988757205145
S13,My,0.1,0.49219454784177685,1.4399682185432554
S13,My,0.2,0.3148998157728632,0.8806380289002319
S13,My,0.3,0.21902660173019567,0.6804805832750107
S13,My,0.45,0.1252336567448425,0.553266578532901
S13,My,0.65,0.14416730529552535,0.460140948570597
S13,My,0.9,0.12716693166218032,0.40124920160169636
S13,My,1.2,0.1482146432746358,0.3610056544807878
