case,ax,rate,de,res,cap
S8,My,1.2,0.15887538050423314,0.1192601405103201,0.49369398163373035
S8,My,0.1,0.060430189786035746,0.5729979593692204,0.395248790915533
S8,My,0.2,0.08639430700379741,0.3576602819038131,0.42121290813329465
S8,My,0.3,0.09518607402801384,0.2542098504628643,0.43000467515751106
S8,My,0.45,0.14066603405591577,0.14002918569400755,0.475484635185413
S8,My,0.65,0.1514712090970686,0.13438210674966758,0.4862898102265658
S8,My,0.9,0.13765498964690318,0.11831728940908558,0.4724735907764004
S8,My,1.2,0.1497244673540054,0.11752628593432257,0.48454306848350265
S9,Mx,0.1,0.034023937212405056,0.16578835330433958,0.3688425383419023
S9,Mx,0.2,0.05442866830483175,0.5525028957761026,0.38924726943432897
S9,Mx,1.2,0.022774406023695994,0.21271144380298157,0.35759300715319325
S9,Mx,0.1,0.06192650273113923,0.37241276166925746,0.39674510386063644
S9,Mx,0.2,0.09836029797788125,0.40336521943832226,0.4331788991073785
S9,Mx,0.3,0.1101335710598822,0.17887233535678285,0.44495217218937944
S9,Mx,0.45,0.14497391169528426,0.12359971059772552,0.4797925128247815
S9,Mx,0.65,0.14599747690131729,0.12381166837927612,0.4808160780308145
S9,Mx,0.9,0.09367375284338679,0.126074789519693,0.42849235397288404
S9,Mx,1.2,0.04414671653496603,0.114200024380489,0.3789653176644633
S9,My,0.1,0.07344179211202974,0.6057685331228336,0.40826039324152696
S9,My,0.2,0.100775039568221,0.3412868714772957,0.4355936406977182
S9,My,0.3,0.11215156249487503,0.35285048047699524,0.44697016362437225
S9,My,0.45,0.1398157414035992,0.16426316691348247,0.47463434253309644
S9,My,0.65,0.1587783007843752,0.19553505337157484,0.4935969019138724
S9,My,0.9,0.11786242271348797,0.6212139367252306,0.4526810238429852
S9,My,1.2,0.095135425106161,0.16845787449619642,0.42995402623565826
S9,My,0.1,0.0569736579582692,0.5383536779250138,0.39179225908776644
S9,My,0.2,0.06436634041030154,0.483134095709146,0.3991849415397988
S9,My,0.3,0.09428046097392072,0.2766896834666565,0.42909906210341797
S9,My,0.45,0.10464355228963629,0.3177365156683171,0.4394621534191335
S9,My,0.65,0.05722201932336581,0.21065572062012836,0.39204062045286303
S9,My,0.9,0.10824950617276174,0.33303105771741054,0.443068107302259
S9,My,1.2,0.1378558568943686,0.3988087239456047,0.4726744580238659
S11,Mx,0.1,0.04527893376849764,0.4422098333189326,0.38009753489799486
S11,Mx,0.2,0.07326222431069448,0.34237943370431556,0.40808082544019175
S11,Mx,0.3,0.08451586055356641,0.17438936028491467,0.41933446168306365
S11,Mx,0.45,0.11350002040609035,0.15601278701766377,0.4483186215355876
S11,Mx,0.65,0.11983488602181418,0.11108840563849313,0.45465348715131143
S11,Mx,0.9,0.1224339537249746,0.12564179314867338,0.45725255485447186
S11,Mx,1.2,0.1334387412228566,0.11257832448933475,0.46825734235235383
S11,Mx,0.1,0.05037589756421748,0.47221377387137914,0.3851944986937147
S11,Mx,0.2,0.06457059662950812,0.2395736494437687,0.3993891977590054
S11,Mx,0.3,0.09523547273642563,0.23987231106558218,0.43005407386592287
S11,Mx,0.45,0.12535700298088967,0.1201814141682011,0.46017560411038694
S11,Mx,0.65,0.1432274542262144,0.1287868560101133,0.47804605535571165
S11,Mx,0.9,0.14631854109652795,0.1262724718529085,0.4811371422260252
S11,Mx,1.2,0.13275314914439126,0.14105336262816126,0.46757175027388853
S11,My,0.1,0.07688289303868034,0.48983970897220164,0.4117014941681776
S11,My,0.2,0.1218903097560441,0.3114221682669501,0.45670891088554133
S11,My,0.3,0.14468320547509836,0.1815127913780926,0.4795018066045956
S11,My,0.45,0.1712683595526261,0.12596196796342735,0.5060869606821233
