case,ax,rate,cap,res
S7,Mx,0.2,0.16465194162995364,0.23174364297973
S7,Mx,0.3,0.18503234569269492,0.37075404041419147
S7,Mx,0.45,0.19661344683812634,0.37829387400984016
S7,Mx,0.65,0.18756832839768295,0.3967461330596346
S7,Mx,0.9,0.1775575631937179,0.3491321034762393
S7,Mx,1.2,0.1729652685348417,0.39403146721802706
S7,Mx,0.1,0.18885576677338267,0.23743850945391828
S7,Mx,0.2,0.18473070031387295,0.22300481099484168
S7,Mx,0.3,0.1813813038409103,0.223051000676825
S7,Mx,0.45,0.17822334920739466,0.22746059110148364
S7,Mx,0.65,0.19356419431669447,0.26737004225851424
S7,Mx,0.9,0.18051464053704866,0.300116960184388
S7,Mx,1.2,0.1849998363884612,0.31454514313170473
S7,My,0.1,0.1949751272761976,0.23479216994084504
S7,My,0.2,0.17805949132411758,0.20721214821985767
S7,My,0.3,0.1891983842305756,0.26483682840077677
S7,My,0.45,0.17187834984603542,0.22264252527820963
S7,My,0.65,0.18975989788739728,0.253411938043591
S7,My,0.9,0.15139205102311362,0.23506947192704225
S7,My,1.2,0.19173761345092663,0.3072445180053491
S7,My,0.1,0.20648037475008435,0.3372547496066507
S7,My,0.2,0.1805326548493924,0.2578966623115402
S7,My,0.3,0.19686825336305555,0.363610560643329
S7,My,0.45,0.1971788720034413,0.3618659369444015
S7,My,0.65,0.18216542447445533,0.3561863806768967
S7,My,0.9,0.22141124274519852,0.2819635131871966
S7,My,1.2,0.1930747550569931,0.3790112705846288
S8,Mx,0.1,0.20747956734468576,0.2507313531116138
S8,Mx,0.2,0.18074205444795838,0.24501938409911042
S8,Mx,0.3,0.16171124233822928,0.21621778369209005
S8,Mx,0.45,0.18448225585269734,0.22873175735250495
S8,Mx,0.65,0.17787901143842821,0.26075508586277363
S8,Mx,0.9,0.1940825309031601,0.27499279773667895
S8,Mx,1.2,0.17959193664410666,0.2462455891487818
S8,Mx,0.1,0.18903700739299126,0.1959441934312059
S8,Mx,0.2,0.17250419554084354,0.31179085492822695
S8,Mx,0.3,0.18504923401575635,0.34209356960998016
S8,Mx,0.45,0.19985912167836928,0.35494932384965705
S8,Mx,0.65,0.21492102157116527,0.4488099351338899
S8,Mx,0.9,0.20152917700332076,0.4079869585241737
S8,Mx,1.2,0.20279945763651078,0.20656929413315195
S8,My,0.1,0.19490006998099801,0.3186368556893574
S8,My,0.2,0.1778813461443928,0.34801728900603285
S8,My,0.3,0.1959542955044426,0.35102264461539523
S8,My,0.45,0.18350003672602808,0.36680306079291897
S8,My,0.65,0.1893451426395424,0.3209750888525529
S8,My,0.9,0.19505614818563735,0.4165478390438212
S8,My,1.2,0.17376320040110022,0.4115765890471832
S8,My,0.1,0.196615805323518,0.2213220902999697
S8,My,0.2,0.2011811150215908,0.22172195588080865
S8,My,0.3,0.19859791388402306,0.20338446301567165
