bag,dir,lp_mm,dphi_deg,int_dyn,int_mod,slope_dyn,slope_mod,a_rate_mm_per_deg,case,axis,z_com,j_p
pos_Mx_045,pos,139.13730656614712,6.075078711280692,234.3446546042672,189.22782611026017,-47.110864359265584,-2.0638587859442,1.4260706711152067,case_04,Mx,0.256,0.32522292
pos_Mx_065,pos,138.85246182251458,5.7248136753736025,261.95094723459965,186.6576195263887,-21.41374514249347,-1.4417291415657159,0.6322619206199707,case_04,Mx,0.256,0.32522292
pos_Mx_090,pos,139.4001575570337,6.180438191617686,264.76487688663525,189.27327458528765,-20.388295993678504,-1.045065924785936,0.6123561984821093,case_04,Mx,0.256,0.32522292
pos_Mx_120,pos,138.88792605306742,6.131707025763058,248.36676526989783,191.10023228955959,-35.063635019302396,-0.4390458602922571,1.09612415899007,case_04,Mx,0.256,0.32522292
neg_My_01,neg,107.08357949812806,3.076499130481932,238.81140488474074,134.98866138147025,-70.6061013377514,-1.8058106279780084,2.178037707427881,case_04,My,0.256,0.30055192
neg_My_02,neg,106.43268934659223,2.9488543710529314,225.09186440005317,135.42912227878497,-121.93029307748024,-1.063134590361146,3.8263389014606433,case_04,My,0.256,0.30055192
neg_My_03,neg,105.76424420341074,3.0594605574429456,157.28391764533234,136.1729151882648,-28.67463063417849,-0.8323177048501235,0.881414988170531,case_04,My,0.256,0.30055192
neg_My_045,neg,107.57525239657043,3.019602057097491,160.21046414771428,131.4094736055765,23.240051966754354,0.71677415871427,-0.7130282133214327,case_04,My,0.256,0.30055192
neg_My_065,neg,105.6431372401956,3.323063428663689,236.08068967399672,132.80587310431773,-97.43967540992368,0.7445022918408682,3.108254908534344,case_04,My,0.256,0.30055192
neg_My_090,neg,105.23737591133668,3.416377555396804,248.99988259041908,133.87176291839418,-89.75304255159593,1.2839314868443172,2.8819930872427113,case_04,My,0.256,0.30055192
neg_My_120,neg,109.48353687575415,4.042205627255068,340.31907096496144,137.57516454918584,-56.83624311398658,1.401922785365576,1.8436683919739696,case_04,My,0.256,0.30055192
pos_My_01,pos,117.89855217472224,6.2238788874104625,225.81764903946103,143.053025622347,-68.54964297602004,-2.4647820036847503,2.0920742863580477,case_04,My,0.256,0.30055192
pos_My_02,pos,117.40602867606073,6.41319751944012,160.0621022768838,145.9169579852033,-46.25711504739781,-2.1648184420112493,1.3958470759773125,case_04,My,0.256,0.30055192
pos_My_03,pos,117.09660026383587,6.108370402168896,240.11646531990144,141.6807002234365,-53.793439360596494,-1.6595314961829464,1.6504235082851677,case_04,My,0.256,0.30055192
neg_Mx_01,neg,140.77832651706706,6.45750195036141,196.31822245558487,172.05487542724904,-18.46790234094921,-3.225857713440688,0.4825233671911828,case_05,Mx,0.256,0.32522292
neg_Mx_02,neg,139.52998624161063,6.132997426492773,26.808103005866943,175.12727813152412,1.2473874507905762,-2.784137808276876,-0.12762757165863997,case_05,Mx,0.256,0.32522292
neg_Mx_03,neg,141.38246493374072,6.306928344267049,144.84624884731565,175.28839339649622,1.146100092018086,-2.579170369144449,-0.1179323437600919,case_05,Mx,0.256,0.32522292
neg_Mx_045,neg,143.16870900987195,7.626263327273541,275.01512112332597,171.76371106441619,-49.47490159067071,-2.189482650026861,1.4969329984185182,case_05,Mx,0.256,0.32522292
neg_Mx_065,neg,143.35530077872914,7.634742700466749,270.7005811075455,173.20935893132432,-32.635940071200025,-1.8101990322474848,0.9758625385097136,case_05,Mx,0.256,0.32522292
pos_Mx_01,pos,137.80008485484805,4.98046404274798,208.84579612814377,194.02178550530357,-27.663030595964038,-3.3137146141506446,0.7708358178627902,case_05,Mx,0.256,0.32522292
pos_Mx_02,pos,137.31231411437815,5.050682974332758,81.67664070952627,197.47169542929652,-59.455397944837884,-2.7954867495986373,1.7937049656276474,case_05,Mx,0.256,0.32522292
pos_Mx_03,pos,139.0954238934971,5.224502593551726,158.52914303361706,198.11196479932806,-51.01899120968422,-2.642769172812612,1.531464978595539,case_05,Mx,0.256,0.32522292
pos_Mx_045,pos,137.50973053611747,5.451803180241922,159.6867187897531,197.11532026741355,-49.387477646527614,-2.113916063650262,1.4965576254068718,case_05,Mx,0.256,0.32522292
pos_Mx_065,pos,138.2122304012434,5.484055868155566,131.3842574921197,197.38459908842398,-38.39316892398326,-1.537204945675113,1.1667636642261394,case_05,Mx,0.256,0.32522292
pos_Mx_090,pos,136.58024030161084,5.008878492525127,126.18812017691577,196.25691875108788,-28.35115798762629,-0.7008089332733405,0.8753379127127517,case_05,Mx,0.256,0.32522292
pos_Mx_120,pos,139.67950385866678,5.698137701621303,207.02503609244118,199.517831684841,-42.59020206289036,-0.3549469350706898,1.3370579877238864,case_05,Mx,0.256,0.32522292
neg_My_01,neg,105.14553403949833,2.324235975509967,208.01089618228812,115.76169713612029,-119.24647351487248,-1.5165545159177602,3.7270220841629063,case_05,My,0.256,0.30055192
neg_My_02,neg,104.23398391243713,2.943946700066523,80.69391983619035,119.8474417092605,-40.24793171261531,-0.8914897228700625,1.2459222744488525,case_05,My,0.256,0.30055192
neg_My_03,neg,105.0633068922185,2.6415756076793917,159.7632837035583,121.00314067710974,-75.2694455476634,-0.3549525562792518,2.371597400022291,case_05,My,0.256,0.30055192
neg_My_045,neg,106.83171721626388,3.2462595439965063,138.9925106804847,118.1121345632818,-7.078443754341645,0.008294344371502324,0.22434763926761087,case_05,My,0.256,0.30055192
neg_My_065,neg,101.53255549409309,1.8004621509674468,-83.25933781209231,117.34332666721303,67.63410516962485,0.7972530187019746,-2.1158803651655638,case_05,My,0.256,0.30055192
neg_My_090,neg,100.0434544494755,2.6580067997653027,180.15051828299144,117.50421589855864,-155.38690938780786,0.9483724059036891,4.949167150825672,case_05,My,0.256,0.30055192
neg_My_120,neg,102.64196472734355,3.0577625566530156,107.36974250767915,118.3702649288327,-30.662571274512356,2.117026274997315,1.0377165381221365,case_05,My,0.256,0.30055192
pos_My_01,pos,118.93467092650882,6.954506300328768,362.7062154482547,157.18221362676164,-57.31878970889612,-2.6985315688396954,1.7291348712511765,case_05,My,0.256,0.30055192
pos_My_02,pos,118.49726878913945,6.083840462924271,295.40737860623966,159.2152358426824,-11.77088446753655,-2.3944416230946604,0.29683371779467926,case_05,My,0.256,0.30055192
pos_My_03,pos,119.76831107309383,7.001577527633473,268.91944529086976,161.8052661891022,-61.92665101346738,-2.087671187993631,1.8943459844332295,case_05,My,0.256,0.30055192
